"attribute_1";"attribute_2";"attribute_3";"attribute_4";"attribute_5";"attribute_6";"attribute_7";"attribute_8";"attribute_9";"attribute_10";"attribute_11";"attribute_12";"attribute_13";"attribute_14";"attribute_15";"attribute_16";"attribute_17";"attribute_18";"attribute_19";"attribute_20";"attribute_21";"attribute_22";"attribute_23";"attribute_24";"attribute_25";"attribute_26";"attribute_27";"attribute_28";"attribute_29";"attribute_30";"attribute_31";"attribute_32";"attribute_33";"attribute_34";"attribute_35";"attribute_36";"attribute_37";"attribute_38";"attribute_39";"attribute_40";"attribute_41";"attribute_42";"attribute_43";"attribute_44";"attribute_45";"attribute_46";"attribute_47";"attribute_48";"attribute_49";"attribute_50";"attribute_51";"attribute_52";"attribute_53";"attribute_54";"attribute_55";"attribute_56";"attribute_57";"attribute_58";"attribute_59";"attribute_60";"class"
0.0211;0.0319;0.0415;0.0286;0.0121;0.0438;0.1299;0.139;0.0695;0.0568;0.0869;0.1935;0.1478;0.1871;0.1994;0.3283;0.6861;0.5814;0.25;0.1734;0.3363;0.5588;0.6592;0.7012;0.8099;0.8901;0.8745;0.7887;0.8725;0.9376;0.892;0.7508;0.6832;0.761;0.9017;1.0;0.9123;0.7388;0.5915;0.4057;0.3019;0.2331;0.2931;0.2298;0.2391;0.191;0.1096;0.03;0.0171;0.0383;0.0053;0.009;0.0042;0.0153;0.0106;0.002;0.0105;0.0049;0.007;0.008;"Rock"
0.0093;0.0269;0.0217;0.0339;0.0305;0.1172;0.145;0.0638;0.074;0.136;0.2132;0.3738;0.3738;0.2673;0.2333;0.5367;0.7312;0.7659;0.6271;0.4395;0.433;0.4326;0.5544;0.736;0.8589;0.8989;0.942;0.9401;0.9379;0.8575;0.7284;0.67;0.7547;0.8773;0.9919;0.9922;0.9419;0.8388;0.6605;0.4816;0.2917;0.1769;0.1136;0.0701;0.1578;0.1938;0.1106;0.0693;0.0176;0.0205;0.0309;0.0212;0.0091;0.0056;0.0086;0.0092;0.007;0.0116;0.006;0.011;"Rock"
0.0257;0.0447;0.0388;0.0239;0.1315;0.1323;0.1608;0.2145;0.0847;0.0561;0.0891;0.0861;0.1531;0.1524;0.1849;0.2871;0.2009;0.2748;0.5017;0.2172;0.4978;0.5265;0.3647;0.5768;0.5161;0.5715;0.4006;0.365;0.6685;0.8659;0.8052;0.4082;0.3379;0.5092;0.6776;0.7313;0.6062;0.704;0.8849;0.8979;0.7751;0.7247;0.7733;0.7762;0.6009;0.4514;0.3096;0.1859;0.0956;0.0206;0.0206;0.0096;0.0153;0.0096;0.0131;0.0198;0.0025;0.0199;0.0255;0.018;"Rock"
0.0408;0.0653;0.0397;0.0604;0.0496;0.1817;0.1178;0.1024;0.0583;0.2176;0.2459;0.3332;0.3087;0.2613;0.3232;0.3731;0.4203;0.5364;0.7062;0.8196;0.8835;0.8299;0.7609;0.7605;0.8367;0.8905;0.7652;0.5897;0.3037;0.0823;0.2787;0.7241;0.8032;0.805;0.7676;0.7468;0.6253;0.173;0.2916;0.5003;0.522;0.4824;0.4004;0.3877;0.1651;0.0442;0.0663;0.0418;0.0475;0.0235;0.0066;0.0062;0.0129;0.0184;0.0069;0.0198;0.0199;0.0102;0.007;0.0055;"Rock"
0.0308;0.0339;0.0202;0.0889;0.157;0.175;0.092;0.1353;0.1593;0.2795;0.3336;0.294;0.1608;0.3335;0.4985;0.7295;0.735;0.8253;0.8793;0.9657;1.0;0.8707;0.6471;0.5973;0.8218;0.7755;0.6111;0.4195;0.299;0.1354;0.2438;0.5624;0.5555;0.6963;0.7298;0.7022;0.5468;0.1421;0.4738;0.641;0.4375;0.3178;0.2377;0.2808;0.1374;0.1136;0.1034;0.0688;0.0422;0.0117;0.007;0.0167;0.0127;0.0138;0.009;0.0051;0.0029;0.0122;0.0056;0.002;"Rock"
0.0373;0.0281;0.0232;0.0225;0.0179;0.0733;0.0841;0.1031;0.0993;0.0802;0.1564;0.2565;0.2624;0.1179;0.0597;0.1563;0.2241;0.3586;0.1792;0.3256;0.6079;0.6988;0.8391;0.8553;0.771;0.6215;0.5736;0.4402;0.4056;0.4411;0.513;0.5965;0.7272;0.6539;0.5902;0.5393;0.4897;0.4081;0.4145;0.6003;0.7196;0.6633;0.6287;0.4087;0.3212;0.2518;0.1482;0.0988;0.0317;0.0269;0.0066;8.0E-4;0.0045;0.0024;6.0E-4;0.0073;0.0096;0.0054;0.0085;0.006;"Rock"
0.019;0.0038;0.0642;0.0452;0.0333;0.069;0.0901;0.1454;0.074;0.0349;0.1459;0.3473;0.3197;0.2823;0.0166;0.0572;0.2164;0.4563;0.3819;0.5627;0.6484;0.7235;0.8242;0.8766;1.0;0.8582;0.6563;0.5087;0.4817;0.453;0.4521;0.4532;0.5385;0.5308;0.5356;0.5271;0.426;0.2436;0.1205;0.3845;0.4107;0.5067;0.4216;0.2479;0.1586;0.1124;0.0651;0.0789;0.0325;0.007;0.0026;0.0093;0.0118;0.0112;0.0094;0.014;0.0072;0.0022;0.0055;0.0122;"Rock"
0.0119;0.0582;0.0623;0.06;0.1397;0.1883;0.1422;0.1447;0.0487;0.0864;0.2143;0.372;0.2665;0.2113;0.1103;0.1136;0.1934;0.4142;0.3279;0.6222;0.7468;0.7676;0.7867;0.8253;1.0;0.9481;0.7539;0.6008;0.5437;0.5387;0.5619;0.5141;0.6084;0.5621;0.5956;0.6078;0.5025;0.2829;0.0477;0.2811;0.3422;0.5147;0.4372;0.247;0.1708;0.1343;0.0838;0.0755;0.0304;0.0074;0.0069;0.0025;0.0103;0.0074;0.0123;0.0069;0.0076;0.0073;0.003;0.0138;"Rock"
0.0353;0.0713;0.0326;0.0272;0.037;0.0792;0.1083;0.0687;0.0298;0.088;0.1078;0.0979;0.225;0.2819;0.2099;0.124;0.1699;0.0939;0.1091;0.141;0.1268;0.3151;0.143;0.2264;0.5756;0.7876;0.7158;0.5998;0.5583;0.6295;0.7659;0.894;0.8436;0.6807;0.838;1.0;0.9497;0.7866;0.5647;0.348;0.2585;0.2304;0.2948;0.3363;0.3017;0.2193;0.1316;0.1078;0.0559;0.0035;0.0098;0.0163;0.0242;0.0043;0.0202;0.0108;0.0037;0.0096;0.0093;0.0053;"Rock"
0.0131;0.0068;0.0308;0.0311;0.0085;0.0767;0.0771;0.064;0.0726;0.0901;0.075;0.0844;0.1226;0.1619;0.2317;0.2934;0.3526;0.3657;0.3221;0.3093;0.4084;0.4285;0.4663;0.5956;0.6948;0.8386;0.8875;0.6404;0.3308;0.3425;0.492;0.4592;0.3034;0.4366;0.5175;0.5122;0.4746;0.4902;0.4603;0.446;0.4196;0.2873;0.2296;0.0949;0.0095;0.0527;0.0383;0.0107;0.0108;0.0077;0.0109;0.0062;0.0028;0.004;0.0075;0.0039;0.0053;0.0013;0.0052;0.0023;"Rock"
