"attribute_1";"attribute_2";"attribute_3";"attribute_4";"attribute_5";"attribute_6";"attribute_7";"attribute_8";"attribute_9";"attribute_10";"attribute_11";"attribute_12";"attribute_13";"attribute_14";"attribute_15";"attribute_16";"attribute_17";"attribute_18";"attribute_19";"attribute_20";"attribute_21";"attribute_22";"attribute_23";"attribute_24";"attribute_25";"attribute_26";"attribute_27";"attribute_28";"attribute_29";"attribute_30";"attribute_31";"attribute_32";"attribute_33";"attribute_34";"attribute_35";"attribute_36";"attribute_37";"attribute_38";"attribute_39";"attribute_40";"attribute_41";"attribute_42";"attribute_43";"attribute_44";"attribute_45";"attribute_46";"attribute_47";"attribute_48";"attribute_49";"attribute_50";"attribute_51";"attribute_52";"attribute_53";"attribute_54";"attribute_55";"attribute_56";"attribute_57";"attribute_58";"attribute_59";"attribute_60";"class"
0.0228;0.0853;0.1;0.0428;0.1117;0.1651;0.1597;0.2116;0.3295;0.3517;0.333;0.3643;0.402;0.4731;0.5196;0.6573;0.8426;0.8476;0.8344;0.8453;0.7999;0.8537;0.9642;1.0;0.9357;0.9409;0.907;0.7104;0.632;0.5667;0.3501;0.2447;0.1698;0.329;0.3674;0.2331;0.2413;0.2556;0.1892;0.194;0.3074;0.2785;0.0308;0.1238;0.1854;0.1753;0.1079;0.0728;0.0242;0.0191;0.0159;0.0172;0.0191;0.026;0.014;0.0125;0.0116;0.0093;0.0012;0.0036;"Mine"
0.0715;0.0849;0.0587;0.0218;0.0862;0.1801;0.1916;0.1896;0.296;0.4186;0.4867;0.5249;0.5959;0.6855;0.8573;0.9718;0.8693;0.8711;0.8954;0.9922;0.898;0.8158;0.8373;0.7541;0.5893;0.5488;0.5643;0.5406;0.4783;0.4439;0.3698;0.2574;0.1478;0.1743;0.1229;0.1588;0.1803;0.1436;0.1667;0.263;0.2234;0.1239;0.0869;0.2092;0.1499;0.0676;0.0899;0.0927;0.0658;0.0086;0.0216;0.0153;0.0121;0.0096;0.0196;0.0042;0.0066;0.0099;0.0083;0.0124;"Mine"
0.0209;0.0261;0.012;0.0768;0.1064;0.168;0.3016;0.346;0.3314;0.4125;0.3943;0.1334;0.4622;0.997;0.9137;0.8292;0.6994;0.7825;0.8789;0.8501;0.892;0.9473;1.0;0.8975;0.7806;0.8321;0.6502;0.4548;0.4732;0.3391;0.2747;0.0978;0.0477;0.1403;0.1834;0.2148;0.1271;0.1912;0.3391;0.3444;0.2369;0.1195;0.2665;0.2587;0.1393;0.1083;0.1383;0.1321;0.1069;0.0325;0.0316;0.0057;0.0159;0.0085;0.0372;0.0101;0.0127;0.0288;0.0129;0.0023;"Mine"
0.0374;0.0586;0.0628;0.0534;0.0255;0.1422;0.2072;0.2734;0.307;0.2597;0.3483;0.3999;0.4574;0.595;0.7924;0.8272;0.8087;0.8977;0.9828;0.8982;0.889;0.9367;0.9122;0.7936;0.6718;0.6318;0.4865;0.3388;0.4832;0.3822;0.3075;0.1267;0.0743;0.151;0.1906;0.1817;0.1709;0.0946;0.2829;0.3006;0.1602;0.1483;0.2875;0.2047;0.1064;0.1395;0.1065;0.0527;0.0395;0.0183;0.0353;0.0118;0.0063;0.0237;0.0032;0.0087;0.0124;0.0113;0.0098;0.0126;"Mine"
0.1371;0.1226;0.1385;0.1484;0.1776;0.1428;0.1773;0.2161;0.163;0.2067;0.4257;0.5484;0.7131;0.7003;0.6777;0.7939;0.9382;0.8925;0.9146;0.7832;0.796;0.7983;0.7716;0.6615;0.486;0.5572;0.4697;0.564;0.4517;0.3369;0.2684;0.2339;0.3052;0.3016;0.2753;0.1041;0.1757;0.3156;0.3603;0.2736;0.1301;0.2458;0.3404;0.1753;0.0679;0.1062;0.0643;0.0532;0.0531;0.0272;0.0171;0.0118;0.0129;0.0344;0.0065;0.0067;0.0022;0.0079;0.0146;0.0051;"Mine"
0.0443;0.0446;0.0235;0.1008;0.2252;0.2611;0.2061;0.1668;0.1801;0.3083;0.3794;0.5364;0.6173;0.7842;0.8392;0.9016;1.0;0.8911;0.8753;0.7886;0.7156;0.7581;0.6372;0.321;0.2076;0.2279;0.3309;0.2847;0.1949;0.1671;0.1025;0.1362;0.2212;0.1124;0.1677;0.1039;0.2562;0.2624;0.2236;0.118;0.1103;0.2831;0.2385;0.0255;0.1967;0.1483;0.0434;0.0627;0.0513;0.0473;0.0248;0.0274;0.0205;0.0141;0.0185;0.0055;0.0045;0.0115;0.0152;0.01;"Mine"
0.115;0.1163;0.0866;0.0358;0.0232;0.1267;0.2417;0.2661;0.4346;0.5378;0.3816;0.0991;0.0616;0.1795;0.3907;0.3602;0.3041;0.2428;0.406;0.8395;0.9777;0.468;0.061;0.2143;0.1348;0.2854;0.1617;0.2649;0.4565;0.6502;0.2848;0.3296;0.537;0.6627;0.8626;0.8547;0.7848;0.9016;0.8827;0.6086;0.281;0.0906;0.1177;0.2694;0.5214;0.4232;0.234;0.1928;0.1092;0.0507;0.0228;0.0099;0.0065;0.0085;0.0166;0.011;0.019;0.0141;0.0068;0.0086;"Mine"
0.0968;0.0821;0.0629;0.0608;0.0617;0.1207;0.0944;0.4223;0.5744;0.5025;0.3488;0.17;0.2076;0.3087;0.4224;0.5312;0.2436;0.1884;0.1908;0.8321;1.0;0.4076;0.096;0.1928;0.2419;0.379;0.2893;0.3451;0.3777;0.5213;0.2316;0.3335;0.4781;0.6116;0.6705;0.7375;0.7356;0.7792;0.6788;0.5259;0.2762;0.1545;0.2019;0.2231;0.4221;0.3067;0.1329;0.1349;0.1057;0.0499;0.0206;0.0073;0.0081;0.0303;0.019;0.0212;0.0126;0.0201;0.021;0.0041;"Mine"
0.079;0.0707;0.0352;0.166;0.133;0.0226;0.0771;0.2678;0.5664;0.6609;0.5002;0.2583;0.165;0.4347;0.4515;0.4579;0.3366;0.4;0.5325;0.901;0.9939;0.3689;0.1012;0.0248;0.2318;0.3981;0.2259;0.5247;0.6898;0.8316;0.4326;0.3741;0.5756;0.8043;0.7963;0.7174;0.7056;0.8148;0.7601;0.6034;0.4554;0.4729;0.4478;0.3722;0.4693;0.3839;0.0768;0.1467;0.0777;0.0469;0.0193;0.0298;0.039;0.0294;0.0175;0.0249;0.0141;0.0073;0.0025;0.0101;"Mine"
0.1083;0.107;0.0257;0.0837;0.0748;0.1125;0.3322;0.459;0.5526;0.5966;0.5304;0.2251;0.2402;0.2689;0.6646;0.6632;0.1674;0.0837;0.4331;0.8718;0.7992;0.3712;0.1703;0.1611;0.2086;0.2847;0.2211;0.6134;0.5807;0.6925;0.3825;0.4303;0.7791;0.8703;1.0;0.9212;0.9386;0.9303;0.7314;0.4791;0.2087;0.2016;0.1669;0.2872;0.4374;0.3097;0.1578;0.0553;0.0334;0.0209;0.0172;0.018;0.011;0.0234;0.0276;0.0032;0.0084;0.0122;0.0082;0.0143;"Mine"
0.0094;0.0611;0.1136;0.1203;0.0403;0.1227;0.2495;0.4566;0.6587;0.5079;0.335;0.0834;0.3004;0.3957;0.3769;0.3828;0.1247;0.1363;0.2678;0.9188;0.9779;0.3236;0.1944;0.1874;0.0885;0.3443;0.2953;0.5908;0.4564;0.7334;0.1969;0.279;0.6212;0.8681;0.8621;0.938;0.8327;0.948;0.6721;0.4436;0.5163;0.3809;0.1557;0.1449;0.2662;0.1806;0.1699;0.2559;0.1129;0.0201;0.048;0.0234;0.0175;0.0352;0.0158;0.0326;0.0201;0.0168;0.0245;0.0154;"Mine"
0.1088;0.1278;0.0926;0.1234;0.1276;0.1731;0.1948;0.4262;0.6828;0.5761;0.4733;0.2362;0.1023;0.2904;0.4713;0.4659;0.1415;0.0849;0.3257;0.9007;0.9312;0.4856;0.1346;0.1604;0.2737;0.5609;0.3654;0.6139;0.547;0.8474;0.5638;0.5443;0.5086;0.6253;0.8497;0.8406;0.842;0.9136;0.7713;0.4882;0.3724;0.4469;0.4586;0.4491;0.5616;0.4305;0.0945;0.0794;0.0274;0.0154;0.014;0.0455;0.0213;0.0082;0.0124;0.0167;0.0103;0.0205;0.0178;0.0187;"Mine"
0.043;0.0902;0.0833;0.0813;0.0165;0.0277;0.0569;0.2057;0.3887;0.7106;0.7342;0.5033;0.3;0.1951;0.2767;0.3737;0.2507;0.2507;0.3292;0.4871;0.6527;0.8454;0.9739;1.0;0.6665;0.5323;0.4024;0.3444;0.4239;0.4182;0.4393;0.1162;0.4336;0.6553;0.6172;0.4373;0.4118;0.3641;0.4572;0.4367;0.2964;0.4312;0.4155;0.1824;0.1487;0.0138;0.1164;0.2052;0.1069;0.0199;0.0208;0.0176;0.0197;0.021;0.0141;0.0049;0.0027;0.0162;0.0059;0.0021;"Mine"
0.0731;0.1249;0.1665;0.1496;0.1443;0.277;0.2555;0.1712;0.0466;0.1114;0.1739;0.316;0.3249;0.2164;0.2031;0.258;0.1796;0.2422;0.3609;0.181;0.2604;0.6572;0.9734;0.9757;0.8079;0.6521;0.4915;0.5363;0.7649;0.525;0.5101;0.4219;0.416;0.1906;0.0223;0.4219;0.5496;0.2483;0.2034;0.2729;0.2837;0.4463;0.3178;0.0807;0.1192;0.2134;0.3241;0.2945;0.1474;0.0211;0.0361;0.0444;0.023;0.029;0.0141;0.0161;0.0177;0.0194;0.0207;0.0057;"Mine"
